DATAFLOW,LAST UPDATE,freq,hhcomp,rskpovth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2018,6.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2019,6.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2020,7.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2005,8.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2006,7.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2007,7.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2008,7.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2009,6.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2010,7.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2011,8.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2012,8.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2013,8.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2014,9.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2015,8.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2016,7.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2017,7.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2018,6.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2019,6.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2020,7.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA19,2021,7.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2014,9.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2015,8.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2016,7.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2017,7.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2018,6.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2019,6.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2020,7.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2021,7.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2022,9.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2023,11.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2024,10.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA20,2025,9.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA21,2025,10.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2004,5.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2005,2.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2006,3.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2007,2.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2008,0.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2009,1.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2010,2.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2011,1.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EE,2012,4.5,,
